"Dealer","Industry","State"
"A. Daigger & Company, Inc. 620 Lakeview Parkway Vernon Hills, IL 60061USA","Dealer Type: Lab + Industrial Supply Phone: 847-816-5060 Fax: 847-816-5051 Website: www.daigger.com","Illinois"
"A.D.S., Inc. 2600 William Penn Hwy EastonPA 18045USA","Dealer Type: Lab Supply Phone: 610-252-1464 Fax: 610-252-2822 Email Address:lhoch@americandentalsupply.net","Pennsylvania"
"Abatix 8201 Eastpoint Drive Suite 500 Dallas, TX 75227USA","Dealer Type: Lab + Industrial Supply Phone: 214-381-1146 Fax: 214-381-9513","Texas"
"Ace Surgical Supply Co., Inc. 1034 Pearl StreetP.O. Box 1710 Brockton, MA 02303USA","Dealer Type: Industrial Supply Phone: 508-588-3100 Fax: 800-583-3150 Email Address:sheldonepstein@acesurgical.com Website: www.acesurgical.com","Massachusetts"
"Airgas259  Radnor-Chester RdRadnor, PA 19007USA","Dealer Type: Lab + Industrial Supply Phone: 866-935-3370https://www.airgas.comhttps://www.airgas.com/store-finder","Pennsylvania"
"Airgasmultiple locations in CaliforniaUSA","Dealer Type: Lab + Industrial SupplyPhone: 866-935-3370https://www.airgas.com/store-finder","California"
"AirgasMultiple locations in GeorgiaUSA","Dealer Type: Lab + Industrial SupplyPhone: 866-935-3370https://www.airgas.com/store-finder","Georgia"
"AirgasMultiple locations in Pennsylvania","Dealer Type: Lab + Industrial SupplyPhone: 866-935-3370https://www.airgas.com/store-finder","Pennsylvania"
"AirgasMultiple locations in TexasUSA","Dealer Type: Lab + Industrial SupplyPhone: 866-935-3370https://www.airgas.com/store-finder","Texas"
"AirgasMultiple locations in WisconsinUSA","Dealer Type: Lab + Industrial SupplyPhone: 866-935-3370https://www.airgas.com/store-finder","Wisconsin"
"Ajax Environmental & SafetySup2537 South Gessner Suite 238Houston, TX 77063USA","Dealer Type: Lab + Industrial Supply Phone: 713-789-4149 Fax: 713-789-0844 Email Address: judd@ajaxrentals.com","Texas"
"Aldrich Chemical Co, Inc P.O. Box 2988 Milwaukee, WI 53201USA","Dealer Type: Lab + Industrial Supply Phone: 414-298-7900 Fax: 414-273-4979","Wisconsin"
"All World Scientific 5515 186th Place SW Lynnwood, WA 98037USA","Dealer Type: Lab Supply Phone: 425-672-4228 Fax: 425-776-1530","Washington"
"American Cleanstat 1552 S. Anaheim Blvd. Bldg# c Anaheim, CA92805USA","Dealer Type: Environmental Supply Phone: 714-533-2827 Fax: 714-533-9457 Email Address: mpc@americancleanstat.com","California"
"Andwin Scientific 6636 Variel AvenueWarner Center, CA91303USA","Dealer Type: Lab + Industrial Supply Phone: 847-701-2848 Email: directsales@andwinsci.com","California"
"Animal Reproduction Systems, Inc.13661 Benson Ave.Chino, CA 91710USA","Dealer Type: VeterinaryPhone: 909-364-1311Email Address: sales@arssales.comWeb Address: www.arssales.com","California"
