id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
8005_21667,"75th Anniversary Face Mask","75th Anniversary Face Mask",https://alconox.local/wp-content/uploads/2021/05/75th-anniversary-revised-mask-mock-up-front.jpg,https://alconox.local/product/75th-anniversary-face-mask,"Merchandise","Alconox Inc.",12USD,in stock,8005_21667,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12USD,new,published,,,,,,,
8003_21342,"75th Anniversary Notebook & Pen","75th Anniversary Notebook & Pen",https://alconox.local/wp-content/uploads/2021/04/75th-anniversary-notebook-with-pen.jpg,https://alconox.local/product/75th-anniversary-notebook-pen,"Merchandise","Alconox Inc.",6USD,in stock,8003_21342,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6USD,new,published,,,,,,,
8002_21329,"3 Scoops (39cc each)","3 Scoops (39cc each)",https://alconox.local/wp-content/uploads/2021/04/3-scoops-scaled.jpg,https://alconox.local/product/3-measuring-scoops,"Product Accessories","Alconox Inc.",2USD,in stock,8002_21329,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2USD,new,published,,,,,,,
8001_21324,"Metered 1oz Pump Dispenser","Metered 1oz Pump Dispenser",https://alconox.local/wp-content/uploads/2021/04/Pump-only-left-view-scaled.jpg,https://alconox.local/product/pump-dispenser,"Product Accessories","Alconox Inc.",4.5USD,in stock,8001_21324,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4.5USD,new,published,,,,,,,
2533_21112,"3 Vent Caps & 3 Silver Gloves","3 Vent Caps & 3 Silver Gloves",https://alconox.local/wp-content/uploads/2021/02/gloves-vent.jpg,https://alconox.local/product/3-vent-caps-3-silver-gloves,"Product Accessories","Alconox Inc.",176USD,in stock,2533_21112,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,176USD,new,published,,,,,,,
2513_21110,"3 Vent Caps","3 Vent Caps",https://alconox.local/wp-content/uploads/2021/02/Vent_Cap_image.png,https://alconox.local/product/vent-cap,"Product Accessories","Alconox Inc.",97USD,in stock,2513_21110,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,97USD,new,published,,,,,,,
2521_21108,"Silver Gloves","Silver Gloves",https://alconox.local/wp-content/uploads/2021/02/Silver_gloves_image.png,https://alconox.local/product/silver-gloves,"Product Accessories","Alconox Inc.",30USD,in stock,2521_21108,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30USD,new,published,,,,,,,
8004-S_21359,"75th Anniversary T-Shirt","T-Shirt Sizes: Small",https://alconox.local/wp-content/uploads/2021/04/gray-t-shirt.jpg,https://alconox.local/product/75th-anniversary-t-shirt?attribute_pa_t-shirt-sizes=small,"Merchandise","Alconox Inc.",18USD,in stock,wc_post_id_21344,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18USD,new,published,,,,,,,
8004-M_21353,"75th Anniversary T-Shirt","T-Shirt Sizes: Medium",https://alconox.local/wp-content/uploads/2021/04/gray-t-shirt.jpg,https://alconox.local/product/75th-anniversary-t-shirt?attribute_pa_t-shirt-sizes=medium,"Merchandise","Alconox Inc.",18USD,in stock,wc_post_id_21344,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18USD,new,published,,,,,,,
8004-L_21352,"75th Anniversary T-Shirt","T-Shirt Sizes: Large",https://alconox.local/wp-content/uploads/2021/04/gray-t-shirt.jpg,https://alconox.local/product/75th-anniversary-t-shirt?attribute_pa_t-shirt-sizes=large,"Merchandise","Alconox Inc.",18USD,in stock,wc_post_id_21344,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18USD,new,published,,,,,,,
