id,Title,SKU,"Product Type","Parent Product ID","Product Size","Product T-Shirt Sizes","Product Attributes",Date,"Post Modified Date"
17336,Liquinox,,variable,0,"1 Gallon (3.8L)|1 Quart (0.95L)|15 Gallon drum (57L)|5 Gallon Jerrycan (19L)|55 Gallon drum (208L)|Case of 12×1 Quart (12×0.95L)|Case of 4 X 1 Gallon (4×3.8L)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-25,2021-06-10
17439,Alconox,,variable,0,"100 lb drum (45Kg)|25 lb box (11Kg)|300 lb drum (136Kg)|4 lb box (1.8Kg)|50 lb box (22.5Kg)|Case of 12 Dispenser Boxes (50x1/2oz packets (12x50x15g))|Case of 9×4 lb box (9X1.8Kg)|Dispenser Box of 50×1/2 oz packs (50x15g)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-06-10
17441,Detonox,,variable,0,"1 Gallon (3.8L)|5 Gallon Jerrycan (19L)|55 Gallon drum (208L)|Case of 4 X 1 Gallon (4×3.8L)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-06-10
17443,Solujet,,variable,0,"1 Gallon (3.8L)|15 Gallon drum (57L)|30 Gallon drum (114L)|5 Gallon Jerrycan (19L) Air OK|55 Gallon drum (208L)|Case of 4 X 1 Gallon (4×3.8L)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-06-10
17444,Keylajet,,variable,0,"15 Gallon drum (57L)|265 gallon tote (1003 L)|5 Gallon Jerrycan (19L) Air OK|55 Gallon drum (208L)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-06-10
17449,Citrajet,,variable,0,"1 Gallon (3.8L)|15 Gallon drum (57L)|30 Gallon drum (114L)|5 Gallon Jerrycan (19L)|55 Gallon drum (208L)|Case of 4 X 1 Gallon (4×3.8L)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-06-10
17453,Tergazyme,,variable,0,"100 lb drum (45Kg)|25 lb box (11Kg)|300 lb drum (136Kg)|4 lb box (1.8Kg)|50 lb box (22.5Kg)|Case of 9×4 lb box (9X1.8Kg)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-05-20
17456,Alcojet,,variable,0,"100 lb drum (45Kg)|25 lb box (11Kg)|300 lb drum (136Kg)|4 lb box (1.8Kg)|50 lb box (22.5Kg)|Case of 9×4 lb box (9X1.8Kg)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-05-20
17459,Luminox,,variable,0,"1 Gallon (3.8L)|15 Gallon drum (57L)|5 Gallon Jerrycan (19L)|55 Gallon drum (208L)|Case of 4 X 1 Gallon (4×3.8L)",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-06-10
17460,Alcotabs,,variable,0,"1 Bottle (100 Tablets)|Case of 6X100 Tablet Bottles",,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2020-01-28,2021-02-19
