Title,Date,"Post Modified Date",ID
"About Us",2016-04-06,2021-06-14,2
"My Account",2015-04-13,2020-07-07,4214
Resources,2015-07-08,2020-10-01,4782
"Order Samples",2015-09-02,2021-06-14,5034
"Locate Dealers",2015-09-09,2020-10-18,5048
"Ask Alconox",2016-05-08,2020-09-29,5513
"For Our Dealers",2016-06-10,2021-06-15,5764
"Contact Us",2016-06-13,2020-08-24,5780
"User Manual",2016-06-15,2020-09-16,5850
"Accreditation Residue Detection",2016-06-16,2020-08-26,5906
"Labware Washer Guide",2016-07-12,2020-08-23,6077
"Selling Guide",2016-07-14,2020-10-05,6113
"Inhibitory Residue Test",2016-07-19,2021-03-15,6145
"Certificate of Conformance",2016-09-25,2020-09-22,6572
"Open Positions",2016-09-28,2020-10-01,6627
"Certificate of Analysis (COA)",2016-10-20,2021-06-14,6862
Calculator,2016-11-08,2020-10-05,7086
"Download the App",2016-12-03,2020-10-05,9905
"Nochromix® Replacement",2019-02-21,2020-12-11,15044
Shop,2020-01-15,2020-01-15,17255
"Your Cart",2020-01-15,2021-02-01,17256
Checkout,2020-01-15,2020-11-23,17257
Home,2020-01-15,2021-06-14,17263
Products,2020-01-25,2020-10-09,17339
Industries,2020-01-27,2020-07-22,17353
Videos,2020-02-12,2020-08-17,17585
"Dealership Application",2020-02-24,2020-11-18,17800
"SDS Sheets/Technical Bulletins",2020-02-24,2021-03-22,17820
"White Papers",2020-03-16,2021-06-14,17973
"COA Forms",2020-06-22,2020-06-22,19622
"Detergent Selection Guide",2020-08-07,2020-08-21,19857
"Cleaning Validation Support",2020-08-07,2020-12-22,19859
"Critical Cleaning Guide",2020-08-07,2020-11-05,19864
"Aqueous Cleaning Handbook",2020-08-19,2020-08-19,19926
"Trace Analysis Certificates",2020-08-25,2020-11-20,20010
"Packaging Photos and Logo",2020-08-26,2020-09-02,20064
"Sample Test Report",2020-08-28,2020-08-28,20091
"Terms of Service",2020-09-16,2020-09-16,20144
"Privacy Policy",2020-09-16,2020-11-10,20146
"Aqueous Cleaning Handbook Confirmation",2020-09-22,2020-10-04,20173
"Ask Alconox Confirmation",2020-09-22,2020-09-22,20179
"COC Confirmation",2020-09-22,2020-09-22,20183
"Sample Request Confirmation",2020-09-22,2020-09-22,20186
"Sample Test Report Confirmation",2020-09-22,2020-09-22,20188
"Shipping and Return Policy",2020-11-06,2020-11-06,20398
Register,2020-11-07,2020-11-07,20407
"Cookie Policy",2020-11-08,2020-11-10,20410
Newsletter,2020-11-16,2020-11-17,20669
German,2020-11-17,2020-11-17,20675
Spanish,2020-11-17,2020-11-17,20678
Chinese,2020-11-17,2020-11-17,20680
"Newsletter Confirmation",2020-11-17,2020-11-17,20683
French,2020-11-17,2020-11-17,20695
"Alconox Inc. Thanks You Confirmation",2021-03-09,2021-03-09,21199
"Alconox Inc. Thanks You",2021-03-09,2021-03-26,21202
"75th Anniversary Giveaway",2021-06-08,2021-06-14,21724
"Alconox Inc. Product Innovation",2021-06-11,2021-06-14,21761
