id,Title,Date,"Post Modified Date"
17329,Laboratories,2020-01-25,2020-09-22
17343,"Medical Device",2020-01-25,2020-09-24
17355,Pharmaceutical,2020-01-27,2020-09-24
17357,Biotechnology,2020-01-27,2020-09-04
17359,"Healthcare & Veterinary",2020-01-27,2020-09-24
17362,Electronics,2020-01-27,2020-11-16
17365,Cosmetics,2020-01-27,2020-12-17
17368,Optics,2020-01-27,2020-09-22
17371,Passivation,2020-01-27,2020-10-06
17372,Photovoltaic,2020-01-27,2020-09-22
17374,"Food & Beverage Manufacturing",2020-01-27,2020-10-20
17378,"Filter Cleaning",2020-01-27,2021-04-20
17381,Foodservice,2020-01-27,2020-11-05
17384,Environmental,2020-01-27,2020-10-06
17387,"Nuclear Cleaning",2020-01-27,2020-09-24
17390,"Tattoo Equipment",2020-01-27,2020-09-24
19781,Cannabis,2020-07-22,2021-05-14
19788,Ultrasonics,2020-07-22,2021-04-20
20201,"Precision Manufacturing",2020-09-29,2020-10-06
